subject,observed_fisher_z,null_mean_fisher_z,excess_fisher_z
M01,0.17754254787227167,0.008051344058947998,0.16949120381332367
M02,0.08815940486126009,0.0067820712262723504,0.08137733363498774
M03,0.2750813675404051,0.011550997594759785,0.26353036994564527
M05,0.22870745280114865,0.00273858691348792,0.22596886588766074
