kind,omitted,level,observed_fisher_z,null_mean_fisher_z,excess_fisher_z
direction,,LtoR,0.12230020619689294,0.009674893747128379,0.11262531244976456
direction,,RtoL,0.17671161270273605,0.023152796729231515,0.15355881597350454
fold,,0,0.1581235831721693,0.0136329541975615,0.1444906289746078
fold,,1,0.14088823572745973,0.01919473627879839,0.12169349944866134
leave_one_mouse_out,M01,,0.14516754543189975,0.02526444192753528,0.11990310350436446
leave_one_mouse_out,M02,,0.19602595627061628,0.023079324821634606,0.17294663144898167
leave_one_mouse_out,M03,,0.1073242266469275,0.0008977689653699524,0.10642645768155755
