kind,omitted,level,observed_fisher_z,null_mean_fisher_z,excess_fisher_z
direction,,LtoR,0.13605453943108672,0.010970998681715787,0.12508354074937095
direction,,RtoL,0.1944601792388134,0.014811172991751515,0.17964900624706187
fold,,0,0.18715545181945142,0.00939843451054128,0.17775701730891014
fold,,1,0.1433592668504487,0.016383737162926026,0.12697552968752268
leave_one_mouse_out,M01,,0.1714646859059314,0.01574960811479737,0.15571507779113403
leave_one_mouse_out,M02,,0.21381941099301566,0.0238950228978527,0.18992438809516296
leave_one_mouse_out,M03,,0.11048798110590319,-0.0009713735024491184,0.11145935460835231
