kind,omitted,level,observed_fisher_z,null_mean_fisher_z,excess_fisher_z
direction,,LtoR,0.1250855650301831,0.01150862330837386,0.11357694172180922
direction,,RtoL,0.19219852481729707,0.027355748654005457,0.16484277616329163
fold,,0,0.1799341436018277,0.017143190471610385,0.1627909531302173
fold,,1,0.13734994624565244,0.021721181490768925,0.11562876475488351
leave_one_mouse_out,M01,,0.15760247382892545,0.02532742379131653,0.13227505003760892
leave_one_mouse_out,M02,,0.21091871061993328,0.02726448481794154,0.18365422580199176
leave_one_mouse_out,M03,,0.1074049503223615,0.00570464933431091,0.1017003009880506
