kind,omitted,level,observed_fisher_z,null_mean_fisher_z,excess_fisher_z
direction,,LtoR,0.13633235662948015,0.011284644453515517,0.12504771217596464
direction,,RtoL,0.19567913826598657,0.02767629226224318,0.16800284600374338
fold,,0,0.1895994553938183,0.0178500460422773,0.171749409351541
fold,,1,0.14241203950164844,0.021110890673481396,0.12130114882816703
leave_one_mouse_out,M01,,0.16928314467212774,0.026763218261161858,0.1425199264109659
leave_one_mouse_out,M02,,0.2155577011241876,0.02780697302353704,0.18775072810065055
leave_one_mouse_out,M03,,0.11317639654688477,0.003871213788939153,0.10930518275794562
